title,author,isbn,status,rating,format,category,series,series_index,cover_url,blurb
The Hunger Games,Suzanne Collins,"9781407132082",Read,10,Physical,Dystopian,The Hunger Games,1,https://covers.openlibrary.org/b/isbn/9781407132082-L.jpg,"Winning will make you famous. Losing means certain death."
Catching Fire,Suzanne Collins,"9781407132099",Read,10,Physical,Dystopian,The Hunger Games,2,https://covers.openlibrary.org/b/isbn/9781407132099-L.jpg,"Katniss Everdeen survived the Hunger Games. Now the Capitol wants revenge."
Mockingjay,Suzanne Collins,"9781407132105",Read,10,Physical,Dystopian,The Hunger Games,3,https://covers.openlibrary.org/b/isbn/9781407132105-L.jpg,"If we burn, you burn with us. A revolution is unfolding."
The Ballad of Songbirds and Snakes,Suzanne Collins,"9781407193149",Read,10,Physical,Dystopian,The Hunger Games,0,https://covers.openlibrary.org/b/isbn/9781407193149-L.jpg,"Ambition will fuel him. Competition will drive him."
Diary of a Wimpy Kid,Jeff Kinney,"9780141324906",Read,9,Physical,Comedy,Diary of a Wimpy Kid,1,https://covers.openlibrary.org/b/isbn/9780141324906-L.jpg,"Greg Heffley finds himself thrust into middle school."
Rodrick Rules,Jeff Kinney,"9780141324913",Read,9,Physical,Comedy,Diary of a Wimpy Kid,2,https://covers.openlibrary.org/b/isbn/9780141324913-L.jpg,"Whatever you do, don't ask Greg Heffley how he spent his summer vacation."
The Last Straw,Jeff Kinney,"9780141324920",Read,9,Physical,Comedy,Diary of a Wimpy Kid,3,https://covers.openlibrary.org/b/isbn/9780141324920-L.jpg,"Greg's dad is on a mission to get his son to toughen up."
Dog Days,Jeff Kinney,"9780141331973",Read,9,Physical,Comedy,Diary of a Wimpy Kid,4,https://covers.openlibrary.org/b/isbn/9780141331973-L.jpg,"It's summer vacation, the weather's great, and all the kids are having fun outside."
The Ugly Truth,Jeff Kinney,"9780141340821",Read,9,Physical,Comedy,Diary of a Wimpy Kid,5,https://covers.openlibrary.org/b/isbn/9780141340821-L.jpg,"Greg Heffley has always been in a hurry to grow up."
Cabin Fever,Jeff Kinney,"9780141343006",Read,9,Physical,Comedy,Diary of a Wimpy Kid,6,https://covers.openlibrary.org/b/isbn/9780141343006-L.jpg,"Greg Heffley is in big trouble. School property has been damaged."
The Third Wheel,Jeff Kinney,"9780141345741",Read,9,Physical,Comedy,Diary of a Wimpy Kid,7,https://covers.openlibrary.org/b/isbn/9780141345741-L.jpg,"Love is in the air—but what does that mean for Greg Heffley?"
Hard Luck,Jeff Kinney,"9780141350684",Read,9,Physical,Comedy,Diary of a Wimpy Kid,8,https://covers.openlibrary.org/b/isbn/9780141350684-L.jpg,"Greg Heffley's on a losing streak. His best friend, Rowley Jefferson, has ditched him."
The Long Haul,Jeff Kinney,"9780141354224",Read,9,Physical,Comedy,Diary of a Wimpy Kid,9,https://covers.openlibrary.org/b/isbn/9780141354224-L.jpg,"A family road trip is supposed to be a lot of fun... unless you're the Heffleys."
Old School,Jeff Kinney,"9780141356969",Read,9,Physical,Comedy,Diary of a Wimpy Kid,10,https://covers.openlibrary.org/b/isbn/9780141356969-L.jpg,"Life was better in the old days. Or was it?"
Double Down,Jeff Kinney,"9780141373010",Read,9,Physical,Comedy,Diary of a Wimpy Kid,11,https://covers.openlibrary.org/b/isbn/9780141373010-L.jpg,"The pressure is piling up on Greg Heffley."
The Getaway,Jeff Kinney,"9780141385297",Read,9,Physical,Comedy,Diary of a Wimpy Kid,12,https://covers.openlibrary.org/b/isbn/9780141385297-L.jpg,"Greg and his family are getting out of town for Christmas."
The Meltdown,Jeff Kinney,"9780241321980",Read,9,Physical,Comedy,Diary of a Wimpy Kid,13,https://covers.openlibrary.org/b/isbn/9780241321980-L.jpg,"When snow shuts down the middle school, the neighborhood transforms into a wintry battlefield."
Wrecking Ball,Jeff Kinney,"9780241396636",Read,9,Physical,Comedy,Diary of a Wimpy Kid,14,https://covers.openlibrary.org/b/isbn/9780241396636-L.jpg,"An unexpected inheritance gives the Heffley family a chance to make major improvements to their home."
The Deep End,Jeff Kinney,"9780241396650",Read,9,Physical,Comedy,Diary of a Wimpy Kid,15,https://covers.openlibrary.org/b/isbn/9780241396650-L.jpg,"In the Deep End, book 15 of the Diary of a Wimpy Kid series, Greg Heffley and his family hit the road."
How to Train Your Dragon,Cressida Cowell,"9780340999073",Read,10,Physical,Fantasy,How to Train Your Dragon,1,https://covers.openlibrary.org/b/isbn/9780340999073-L.jpg,"Hiccup Horrendous Haddock III was an awesome swordfighter."
How to Be a Pirate,Cressida Cowell,"9780340999080",Read,10,Physical,Fantasy,How to Train Your Dragon,2,https://covers.openlibrary.org/b/isbn/9780340999080-L.jpg,"Can Hiccup find Grimbeard the Ghastly's treasure?"
How to Speak Dragonese,Cressida Cowell,"9780340999097",Read,10,Physical,Fantasy,How to Train Your Dragon,3,https://covers.openlibrary.org/b/isbn/9780340999097-L.jpg,"The Vikings are being attacked! Hiccup must save the day."
How to Cheat a Dragon's Curse,Cressida Cowell,"9780340999103",Read,10,Physical,Fantasy,How to Train Your Dragon,4,https://covers.openlibrary.org/b/isbn/9780340999103-L.jpg,"Hiccup must quest for the vegetable that no one dares name."
How to Twist a Dragon's Tale,Cressida Cowell,"9780340999110",Read,10,Physical,Fantasy,How to Train Your Dragon,5,https://covers.openlibrary.org/b/isbn/9780340999110-L.jpg,"Can Hiccup save his friends from the wrath of the dragon?"
A Hero's Guide to Deadly Dragons,Cressida Cowell,"9780340999127",Read,10,Physical,Fantasy,How to Train Your Dragon,6,https://covers.openlibrary.org/b/isbn/9780340999127-L.jpg,"Hiccup is lost in the Library of Doom."
How to Ride a Dragon's Storm,Cressida Cowell,"9780340999134",Read,10,Physical,Fantasy,How to Train Your Dragon,7,https://covers.openlibrary.org/b/isbn/9780340999134-L.jpg,"Hiccup has three months, five days and six hours to discover America."
How to Break a Dragon's Heart,Cressida Cowell,"9780340999141",Read,10,Physical,Fantasy,How to Train Your Dragon,8,https://covers.openlibrary.org/b/isbn/9780340999141-L.jpg,"Hiccup must face the most terrifying dragon of them all."
How to Steal a Dragon's Sword,Cressida Cowell,"9781444908770",Read,10,Physical,Fantasy,How to Train Your Dragon,9,https://covers.openlibrary.org/b/isbn/9781444908770-L.jpg,"Bad times have come to the Archipelago."
How to Seize a Dragon's Jewel,Cressida Cowell,"9781444908787",Read,10,Physical,Fantasy,How to Train Your Dragon,10,https://covers.openlibrary.org/b/isbn/9781444908787-L.jpg,"The Dragon Rebellion has begun."
How to Betray a Dragon's Hero,Cressida Cowell,"9781444908794",Read,10,Physical,Fantasy,How to Train Your Dragon,11,https://covers.openlibrary.org/b/isbn/9781444908794-L.jpg,"Hiccup must become King of the Wilderwest."
How to Fight a Dragon's Fury,Cressida Cowell,"9781444908800",Read,10,Physical,Fantasy,How to Train Your Dragon,12,https://covers.openlibrary.org/b/isbn/9781444908800-L.jpg,"The Doomsday of Yule has arrived."
The 13-Storey Treehouse,Andy Griffiths,"9781447279785",Read,9,Physical,Comedy,Treehouse,13,https://covers.openlibrary.org/b/isbn/9781447279785-L.jpg,"Andy and Terry live in the world's best treehouse!"
